original_path,sha256,bytes,category,disposition,destination,notes
benchmarks/open_review/rounds/round_003/README.md,151611c332d73b7cb6ece57072e687ce914d646c463d76305a98adf3e9da786f,2899,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_003/README.md,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_003/input/hf_batch.json,abf129868065f4372a739471f0112b4c465316679afb685f319aabddfb649225,9794,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_003/input/hf_batch.json,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_003/open_set_review_packets.json,7a59a8598874fa71f828db4d02b9cda9922406fd42ddeacff016bb819b3e3028,112698,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_003/open_set_review_packets.json,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_003/open_set_seed_output.json,28f28c38d48bec4f36a4acb866be17bea8389bf7936a81e6a4ce75e6acd75462,26228,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_003/open_set_seed_output.json,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_003/reviewer_a_packets.csv,23aef42333254d33bde3420c2cf9b157dfbc910a254e73f0da9eea8986928e45,27836,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_003/reviewer_a_packets.csv,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_003/reviewer_b_packets.csv,a797471eff5143cedd980f858c40eef1bc5e49108a40a9f8c56d6213fba12bb0,27836,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_003/reviewer_b_packets.csv,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_004/AI_PRESCREEN.md,0e224b10759e827c843b2a411b9c18f1167e7910c1164a9a5f9ac9271f3a486d,2112,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_004/AI_PRESCREEN.md,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_004/README.md,2fb4fae5c05809929831471f5edb0877d8194d30631c5de5ff929af58322b9de,4569,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_004/README.md,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_004/ai_prescreen.json,c1a8684081302b99b18868ee399af38eef30fb7478a52d5db58761ea78be8978,18830,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_004/ai_prescreen.json,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_004/input/hf_batch.json,abf129868065f4372a739471f0112b4c465316679afb685f319aabddfb649225,9794,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_004/input/hf_batch.json,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_004/open_set_review_packets.json,908a2423d8668b5d289260780bf27bc15999a02043a100615f38e676f662ea68,111537,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_004/open_set_review_packets.json,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_004/open_set_seed_output.json,3694b5ac6047d0561906bca6bc69685c11e976805a6b75f66bd2d06d27b7aa46,26757,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_004/open_set_seed_output.json,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_004/reviewer_a_packets.csv,81733dc0b475599cbfcaafaad03256116d5d1c56530213bb732a02d6345fd781,32349,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_004/reviewer_a_packets.csv,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_004/reviewer_b_packets.csv,aef66c957fc8bbe3d2f050fff586f7181230176a47e1cb8a9f0038b087805ced,32349,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_004/reviewer_b_packets.csv,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_005/README.md,594824ee636c895aca30de93d32e07ca46ef37a52b4b00ff0936cc4b74759efe,10532,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_005/README.md,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_005/ai_review/README.md,19ff2b03b6efda1f83f187aacbe9a4324fdadf267edcfb1b145226d944bfee7a,5090,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_005/ai_review/README.md,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_005/ai_review/blind_control_summary.json,1849bdf2dd83fc669777c3bb768cc00920052903a0d79a8916adcce0050ec22e,800,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_005/ai_review/blind_control_summary.json,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_005/ai_review/blind_review_packets.json,71c18ac5fe74c58855ef4a7f01b074e3db979dcc285b448693236314254cb614,110807,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_005/ai_review/blind_review_packets.json,Historical fixture retained because tests read it directly.
benchmarks/open_review/rounds/round_005/ai_review/offset0_disagreements.json,abbbb0afaa2f151cdc4febb038c22cafda085130d5cd8e248a3bd0ddee900d34,241,regression_fixture,retained_regression_fixture,benchmarks/open_review/rounds/round_005/ai_review/offset0_disagreements.json,Historical fixture retained because tests read it directly.
